tag_code,box_code
H9DNCBP8AVCDN5,FMTH63
UDSXCDDGPNFD6G,83RWHM
538MRDWRDENBQZ,N0UKCS
37CXMJXXH6TPT2,XZ4K61
DRYATEXCEDG5Q6,LZC7S4
FAG6KFZ8HTHNAW,X4H7D4
5JHYK3VF486AUW,PME6U8
9WB5X7DCDD9GE9,9DFT52
SHE323HQQXJWVN,FSJ3M0
6ZSY3VGZ56EVA6,QDDTM1
AAHCEVA3Z2KUA2,KIUUIY
6XADNN4KFEEJBQ,SBNP72
SZEWSSDHZ7X5AR,1MRSF1
ZY88T9NXSPR6BU,7IGCIT
Z3W28MA8T6H5A3,7HXTSZ
WMMTAJ8B5PBJUZ,00N02H
NRW4P2XDZZ4UNS,29G6RG
A73EHH5GZ3CKT7,LCCRXZ
YHXMTGEQBUHVXH,YBHI9W
EFS3RCN9PXXGNK,R3AOSQ
QVVKQ4HE4D2GYA,3C1J3D
TJ44HPDPPVCDDG,8QJN5V
73VYCCXNFWV5TU,CJ135L
PWEKA5ZB23CZAU,SC06N5
4BDRZ46ZTZM3BP,U8V9BS
Y4J5CUYYBE8G9C,TZEKIB
DDW3PC7BRBHFWU,DTOS28
VNGNAHV4C2E3E6,VW4B01
NNPGADCCXHE788,PHYR7B
HURUBVDBN64X5H,2QHF3I
ED42E55GHV6WF7,8DF1XA
RAY9F2P9FK53CD,SW0MV6
SS2BAQ4QQXFQSF,YWJNEY
ZSM4JSVZH2PX6A,PSK4SG
AE4K4DGSNY8GJE,EGCRMU
E3PS86WNWHMWQ9,JM4LPV
RQKF5DW24S4UC3,597JR1
VNU7AKEBQCSZA3,Y1QFL4
QHQ89HXYDV23AR,372K3G
R2R82DWRHVE37N,R21OUG
FC8SHXPRX5EENB,0E8J8P
BW6J767H9KGQR8,F87FB0
FYBF46A5ZNPE5A,5Z9PPU
BN5Z7565JCCZCH,YXQBYZ
PT8MB6TNA5YY9F,CU5IW9
K4ZD82QP8QRPDA,EATJ57
76MC5GT85P9567,LXEW7Q
58BFRKACNAZCFC,KOE4H0
MNZ5H82SAEXHMA,1KENW4
QATSHFPD8VUQ63,9HBDOV
D3UDX2CSXMS3PF,T1QHX6
RGA9RS8TPKB8QR,34BMSO
Y3XNG66KRYGCWD,D846M0
UFXVQ749J7K9MQ,BG5YFD
754AD487KK8475,RQMEA7
BUP6TCZMXGDGPH,8VVXWW
ET5FZKC84HFDXG,E1DT3O
MS9MEZNDF3BJ8F,RODWNW
SGRP6BR5JTRVSU,AINJEF
ZHWPFXQ9TTU2GT,B7HZST
RT9JD8JSDEEMSR,AS32DK
G447C6WSKYCG25,2AS5FP
7QAN37MY89EDGU,5MLSVK
M95Y3REAP94RMD,HAQA1J
SWCFZGKB9NPYAC,FMCKLI
2TTV74Q2CTWKM4,4OTYLJ
WA3FXJHAHNZG36,YBA5M8
97FXBAHHHQETJY,0W34ZX
V36CFAK9KAE8HG,VCOQ17
2AMF36PP7YZ9MX,UQXFTV
E5SEQ7JN25A63H,KL0LLO
R925XB6TQKWRB2,2LCIV7
XRD8CYD2CK54DB,03EOQP
KSZHW36BSD9PSP,NBQIIO
J8EXHNTR2YHZ3C,4KCNRF
YC9Z77JMEKKTH5,LBJTQ9
79QHRDKGEXFAEH,6075T2
46NUXARG3EUBVG,V7BI6S
87P92ZVGHWSXPG,NICBJ3
KR2W8GDV52TA6F,N0HZZ5
ZBZGWEFG6TKGQB,KI3C4J
FSHTUAS522H5JV,Q8CU1W
MGD86FSMXCEX25,7BC1DP
AZTD6YVN4GKK39,XPWUD7
J5VSQ7AEKYBT4U,RHYIY2
5T585M7KXHBS6M,HSZCHT
5XYY3BQ2SV6AJE,K74W3B
ZHFE6FB76MKE3C,T7R0NH
GKJGYPYRJC5YPR,WQNHHH
K63RJ23XHJDWGE,IPI7VQ
QZUGT9HUEXHAMS,OD49O5
SSACGCFMJSKNTQ,KOMTVY
SCKVQJM35ZUWGH,XPVEWW
VNYDBJZCKBQASZ,LNQICB
HDZT35VAQUW3K5,D4DKST
U5USZJPVBE587H,97NSL7
6NT4TB6BCSZ9E4,LLJ23C
4XD3DPZG5SBHTH,XXQRX2
YYFA3KJ5TBACQU,A9H1P6
8X7Q7BZPDRDR6A,ZKGIRZ
FYAJ5KCS9NXZJS,QBM7LR
6V5QQ5CHMAEEAS,YFAHA0
WGH9HQ93CWZX76,0UGTOE
PVXTHJ47NJGYWM,E7YMST
AZ8APFFJ2SAPU7,PM70MK
PDQDUZXRVFAKKQ,X45B49
D6DE8HBY29N8YR,V6NRRD
W7B8B79RAGRSUY,1RDA48
WRBAUQ8MW7AMK2,DSBX4F
PHEAPWSKEJP9ZE,JB4XUA
HDKGX2SQZSUJUG,H9TNSI
QE9EA3H9UKMJX8,1HGBZV
MAMHQ7TPMYX9T4,NCETKK
GZUZ99387GXPDN,OPRN3U
CX9AN46S7DM96A,1687RF
PYA52RPM8Q4HQJ,10EDFC
PDMNXED977AHAH,LTYUBY
262P6JMHAHASCN,XTC9V0
D9R3S5N7TH39KN,D2T3CQ
MNEZBHRVCE449Y,VUVLUS
5KCQV73NCVSMDE,9US3P7
VR7HABKJ5M47SS,9F450M
G8ARG39ZSKZ5UM,JFA21G
G2H6W8B6AUBWJX,RAX0LH
CW3P79AU3WBWBU,ZF4O0U
6THWM2XESAHC74,25PJ9Q
G7E6XQPDA5FT93,3UIUHU
G55WKQDXDX7YRE,8BGYFN
54K49VX66XB6VN,MFIG68
3ATQHVN8ZTDD7K,YER894
VUQYKCUPRD4BHE,77TGOW
CH3WT6VGUGDS63,MWYEHK
MWHJ33PFS5R57X,3DDS0O
SCJPXNXENZ8RHA,OJGND3
787HXZ87JBZFV8,CAQ2B1
ZKK8RAZP6NPDAX,JZNNO3
UQYS58WYGXTPU3,99BHRF
9XCQBAKA4W93KQ,06U1Y9
N7AK4KAJEDEYYV,X1YHSM
RPG792H5H8AVBN,RSPWPZ
UB5UR92FFQW5XH,DBOSZ0
56J6RCFVKACK3U,QSFCJA
GQCMB43XE7DKKQ,JNC8SI
N2EN87J24UP7YK,DXD50E
RA95QMZZFFWUW5,U91ZA7
HEQRDUCJDT4QC8,KF3OBP
5FCZWWDBE2STSG,MJRCR9
EF3GJKERX39WZE,654JAK
ZENSRFGU5MHUKY,FP9PHX
88X6XHZ64B6QAD,J2IQY7
QEJP7MBH4WD6SB,R8LB8P
BG9RXCKTMSDUQW,11S1EC
NE8FSVJ4N4P4D7,LE1AWN
SW3SPYHDPPX8B9,0UDJYR
8B25UA7BKFMCJS,COT8IG
SNUXARC5JP4XV5,OBT9YY
W2KVT5M2BCX9AV,N84273
VG677ZFR9QBX3S,O0WPGS
K9DEEBZFA5ATDK,TJEARQ
ZWNGDKNU3EM6JZ,WXMMMW
FKP6XSSGBJRUEA,L5ZVN1
2K6TGGG7NZY5GN,D4CY8Y
26WF3PSWHTW4NN,4NC6NB
MAV8SVYYMRR8DA,YW6ZGR
AUKHPVTCZ94C5N,D861HO
2Z5EUHX4F3YZD7,3FJNFR
N3XCAYXXEFSHEP,4VMP7E
ZQAHSDP9U3E4U8,2S88W9
CCESKQ9WSYQ3TW,POZ583
JQB6YUJXG9MHGX,ERYHF1
VYUG2WS5UM66PJ,2W17GJ
PCCM5JA8DABFBR,W57U0G
CMEAW63JD8HN82,Q3J5OP
652RW58SEH6B6X,7WHNVN
GZC8PVXN6MBR3A,XAKGUD
Z3S6V2NKD56234,SVJ537
CSDKWXAW5WQ6M4,IGCIHP
VADVDFWRH6RHXT,2FN8X3
SUBHGTVP4UQC4A,EVLXY2
W26JT6DSCVWU43,399IY4
VFC83VTYFR6CCS,K7R1TL
SUPC5RA5T9CEEC,218SOZ
KE23D6EJZ6GVDJ,LUO0F4
GZ9HKZK9KJH3HT,0Z272H
Z9DWGTJ7AP2C2H,48MIO4
CW55R5FBUGE4TS,TSQ945
M6EBFN8K68ZSVF,F4BP04
3N2GT3M7UXVT24,BGNSQO
DZ8JRC3M4YZZ8Q,RZVJ4Q
M6WBPPAB5RCYZP,BHXTJY
J3XAY93Q6WCMPQ,HTD9FS
TQXC7RYW5UGZ3Y,T2AORB
9W8AF62XQFJ92E,6V62RI
2C6T8B7KHCRWHT,J26QS5
8SKY7UPEF9BH8F,UMP7VF
69MBD92DF7AC6R,YR60O7
G52JHS862BC7HY,5WHOR5
J6WUQTJFNP2VTU,4T8B13
8T3KPQ5TGWHD2W,2BSPTV
ANXRS7SB326JYB,BQ3AR7
9QMHU29NTBSKCV,I9XSMG
XNQ695A3SRP2DM,GM12TK
HRYHRXXHMB7FBQ,S1PX4H
DTBHMPKQU2W8HT,WWPMVP
MH74ZYRSGTDQ66,LY57GK
Z7BXD2EJ84ZJNG,J11F5R
885AR699VVBHVH,VNA271
RKB6T4FZTTVU3M,TDZ6SC
SA4B9YXRAPV93H,FD4A2X
EGZX94AWT5948M,GUDUVC
AMST9CAGBXAEBA,3YTKCV
ZC33VYNC2TRPJE,L3AN5C
CNHXXNS7HSFTB9,984IJ8
TMPGD48V3NCVW4,644TCN
DPAB3KCQT473B6,YS2QB1
XNUNCN63QUH843,9UZ029
9ATQBZ8MXV46DU,KNO1P4
24GGXKJN37JK2M,PGZYKP
RTSAUEVXJDP9BD,TYCEN8
PPTXGWSSSXF3AB,890P18
GS694ZUJQV42AC,QDHE50
B5PJY9R5BYFAYE,PM4RKI
W2BTGTYMN2H582,C5XWQ7
D2AJAMPYWCKCV5,GLOTQF
RWBW6GWE52E8E9,0X0GCX
KG9BCNN9NHZ9KA,O62LSN
SKFBXZR5UVZC7W,JB9B9H
ZN3RPH42WSZTJF,4YKEYB
3TS328BPWSQEJG,7HRM0O
CDE5NDM5XBYWQC,1M84SW
ZFHPGMBEDS7QHT,GK3G20
V7MYSB8BK53CQ5,08FD0P
BM88KVNC2CJ4U6,GI47F6
99PK7XCS7YDKQJ,IEWKM2
YST5PZ2E6G4P2S,CY9S7U
54ZQFFB2Y4N73Y,SBB8UG
BCKEGHANSDYHB3,LQPKQ8
KQJFPFV2JU3QEM,RDL17W
7TBPRWKJENGRFG,8P6FRL
EPPUWKJYS3P5SF,90R1YG
XPCZFUS8TVJSG3,KE7POD
PNHBV3FE6GC4FH,I8R3L6
