tag_code,box_code
DCPPU9SGXMSP26,V6TZ9U
ZTMYFUGYQ6V8UT,JQO5XI
MS3B622EWZFEBY,1MRZ3B
JSYVJ425ZJ6CQA,ERKFR2
37WGD78ZK85VV4,8A67RL
CVJBTX58F4MXE4,3TGF6Z
EJP95G4ZHTSCCV,MEJQOR
MRCB3FGPYYSU9F,LQVDQI
WFZCKAG9HQWEUJ,L2HJQD
QMVVZBJRW2MP2W,OJC08Q
5KZX432ZJ9BETE,7NF6HK
JVSGFQ6ZTSX5A8,IC5N5P
JD2PXAP5W29EET,E5I731
DQTB2K8WF9AJRQ,3YQL47
CSXNJB6VF8NBMT,2OOFJ7
THXD39AASCEVYR,FAJUG4
PGUDCDM9BNHEKG,BQ8L84
N4SGJKNMF3AAK2,9IYZR9
7S3UBK4XFEHVP2,7F5WY5
9Z3K6H3K92DV9D,MVCFWI
ATHBH38F6ZJWN5,GBGCF9
G75DA8QV9WPVZF,UFCDQS
49U72B8R5YK34Y,6TJ2LH
RECQ4KPHQ68KWR,T4LGXL
AWU2DKB4VRNZ7V,N0NZXD
64ZD5MMKHG2NVV,WWV3W9
2KAX8WSDK8SGAF,IIHWMW
ZKZAFAPSWQ5WER,QJRROE
FAKR39VCFKFMFA,5HTPVP
WZ38CNJ94VCHXG,MY2Z0G
N829RAT66K3GX9,IF4Y7X
H3DNVM34F45YEF,47QLG5
S3G8PZK4SAPYCS,ME6BUY
TE6AYN882PJTEU,XDXUHO
E5WKMRJG3YQEYA,09Q0VQ
8Y9B4KFDARY8PP,K6ZADS
MC4C3ZR43H745H,ZTZL78
5GSCG9CD5KUCCY,UKV4R0
M8UVDFCZQ24E3P,JSUDFT
5JHQDW7V7PRPTE,4OOP5C
82AHBUB8HZ2NW6,SUDDSW
EBCANY7G6CZJRG,2HS31N
TGVAGZ7UVE7JNA,GZ39HS
B9NNY3DKA3EHBZ,72F3KJ
U6N7PVAAH3F8GK,263XAD
SZDJKY7EJT7XZP,3KYI04
9Y5E7JC9EAQD6M,WNFNBV
JED5PEZBPBQFPX,TQZLHX
483BBGYUBC5RW8,5RVHFH
8XMJSKRFD92FJ5,1950EZ
QDZWVV65H8NC6Z,EZODXI
CPMSP993SMMUEJ,QYJWQK
7GADJ739HPCN6J,S4OYUT
CD4C7QEKCKS2V2,SSUV6H
NGKWCD3NNS3899,RJHABX
FMDTMUX9FASRM2,1A7Q6R
VPDNEBZT79UZF4,HXRFHO
Y5Q6CV363BQPQH,FY8273
HTHW7GREBPRYWG,K7NPGS
TW4XP4HA73CUP8,VFDOBB
QHKBYXYKBCVM98,9TO663
TX9KF4NN2S4D3K,1YL4FD
9EBQANS3AFCES7,25BVW4
YEZTNNC5BAERWN,KRBX74
A8VC2FKAF7NQHZ,7FNOXD
U2CEAEQAPAVQPH,1JEVP9
R2482W2PFPCWHE,M0JVDF
9WVATTVVK8V9CM,OPMKKZ
TRQSWU47KR3UUZ,A3QANU
4F5WVRHC4N87WU,W7DFH0
WYBXCSRJ7GAHCS,9WB1SR
3946PHWBDCCABB,7YA68S
X7NN6S6H8Q95HW,AKIIO3
UKUVPC7YANUQZG,RXC95T
KMSV9KTC9GY84E,7TUQ08
Z9UT2ATH539HHW,R1NOIG
URHQ7WXFG2DYNY,YGJI9K
AQZDU9UPR2BBAC,6PFN9Q
5SMS4K66GM3YAS,F5RVZC
MKXZ8JGUR4SDGW,EWTKLL
2JBSQECNKNSFF9,EZ52B7
85HGYGR5MKU7GU,1JSBGP
SKH5WBC4N6TQJX,OZSS45
AB7ZE9M53B93XK,ATBE49
KHQEGRQDKM7CGZ,9OY7OH
MK5UMU9AF24PYS,8L3KVM
2U5ZWH8UVTEHMN,O5E1PE
BYF2GKYVQCJHYR,OFIJ6U
W44KN3ED3CFQ22,UCH0WR
GBUQW7CWKWD5RA,4EXJAI
ZF6WCX25XHM4RY,Y7FFFH
HBK5HE6JK7JKKA,AU7000
PWYWZD4ACNC2DZ,QSO8L1
7YJKK6X4YDFGMC,3CTN22
TD2VF4BWV3KEC6,0MKQKZ
SHNXVWXDD76BUA,T09VEW
DHERQM7UGNGPC3,LC7MM3
EPZNCSA5TSPEXY,6LJRB3
645X783RDCH62H,2HT64R
W2TCWUY9MMZ3KK,UOBY6U
MHR6FMFM4QVXRK,L9412Q
NJ5SHRBRSP528G,S514BC
DAWQZQXH74R42U,OR4BTW
APJK8GNVS6UJTS,MYXL7O
BBSVSM3E3KUAP4,OH9AIM
G67CFWQDCUCRBV,W1K9W0
BG2CFFNPCH9GA6,NI8O8F
WQFKSPHCKYAVS7,7GI09Y
GC4K2BXCEUHQ96,QRI1KF
U96MDRCNBEDEMR,QMP6JM
U42ZYRS87DUA3N,PE82XG
R8YAXHJ2FBAD7W,U4D29U
CYT2HVH263SNUN,5BHLH2
U3H2KJFXBMS7UW,BR4QVN
S5TRC4KW632MYB,1HOX83
HXX8NZ2XDT8UZY,QQJ3FD
